IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.10.100,2095,2095,false,SIN,Asia Pacific,Singapore,847,2.92
47.243.18.199,2087,2087,true,HKG,Asia Pacific,Hong Kong,10,2.88
47.236.10.182,2053,2053,true,SIN,Asia Pacific,Singapore,242,2.87
47.242.232.14,2053,2053,true,HKG,Asia Pacific,Hong Kong,925,2.86
8.210.3.24,2095,2095,false,HKG,Asia Pacific,Hong Kong,9,2.85
47.76.49.246,8880,8880,false,HKG,Asia Pacific,Hong Kong,13,2.85
8.219.132.64,8880,8880,false,SIN,Asia Pacific,Singapore,250,2.83
47.236.10.100,2052,2052,false,SIN,Asia Pacific,Singapore,265,2.82
47.242.232.14,8880,8880,false,HKG,Asia Pacific,Hong Kong,422,2.79
47.245.105.224,80,80,false,SIN,Asia Pacific,Singapore,253,2.78
47.236.125.62,80,80,false,NRT,Asia Pacific,Tokyo,340,2.77
47.243.173.187,8080,8080,false,HKG,Asia Pacific,Hong Kong,531,2.76
47.243.27.217,8880,8880,false,HKG,Asia Pacific,Hong Kong,238,2.66
47.237.121.38,2095,2095,false,SIN,Asia Pacific,Singapore,247,2.66
47.236.123.133,2086,2086,false,SIN,Asia Pacific,Singapore,256,2.58
47.236.172.95,2082,2082,false,SIN,Asia Pacific,Singapore,257,2.57
47.243.74.220,2086,2086,false,HKG,Asia Pacific,Hong Kong,11,2.56
47.236.165.25,2052,2052,false,SIN,Asia Pacific,Singapore,253,2.52
8.218.243.95,8880,8880,false,HKG,Asia Pacific,Hong Kong,422,2.50
47.236.164.215,2095,2095,false,SIN,Asia Pacific,Singapore,249,2.50
47.76.49.246,2082,2082,false,HKG,Asia Pacific,Hong Kong,12,2.50
8.222.214.231,2052,2052,false,SIN,Asia Pacific,Singapore,249,2.50
47.236.146.249,2053,2053,true,SIN,Asia Pacific,Singapore,252,2.47
47.245.84.124,2083,2083,true,SIN,Asia Pacific,Singapore,255,2.47
47.237.125.8,2052,2052,false,SIN,Asia Pacific,Singapore,250,2.34
47.236.180.51,8080,8080,false,SIN,Asia Pacific,Singapore,254,2.33
47.243.173.187,2096,2096,true,HKG,Asia Pacific,Hong Kong,471,2.32
8.217.145.40,80,80,false,HKG,Asia Pacific,Hong Kong,32,2.28
8.210.3.24,8880,8880,false,HKG,Asia Pacific,Hong Kong,11,2.24
47.236.87.246,2086,2086,false,SIN,Asia Pacific,Singapore,263,2.23
8.218.174.118,80,80,false,HKG,Asia Pacific,Hong Kong,198,2.23
47.243.18.199,8443,8443,true,HKG,Asia Pacific,Hong Kong,9,2.21
8.222.214.231,8080,8080,false,SIN,Asia Pacific,Singapore,252,2.19
47.76.33.40,2083,2083,true,HKG,Asia Pacific,Hong Kong,554,2.08
47.243.173.187,8443,8443,true,HKG,Asia Pacific,Hong Kong,464,2.06
47.76.49.246,2096,2096,true,HKG,Asia Pacific,Hong Kong,12,2.04
47.236.167.231,2053,2053,true,SIN,Asia Pacific,Singapore,251,2.00
8.219.191.40,8880,8880,false,SIN,Asia Pacific,Singapore,250,1.97
47.76.178.146,2086,2086,false,HKG,Asia Pacific,Hong Kong,211,1.97
47.243.173.187,2086,2086,false,HKG,Asia Pacific,Hong Kong,451,1.89
8.218.188.129,80,80,false,HKG,Asia Pacific,Hong Kong,253,1.87
47.236.123.133,8880,8880,false,SIN,Asia Pacific,Singapore,252,1.83
47.243.27.217,2083,2083,true,HKG,Asia Pacific,Hong Kong,521,1.81
47.76.178.146,2082,2082,false,HKG,Asia Pacific,Hong Kong,12,1.80
8.219.50.180,2083,2083,true,SIN,Asia Pacific,Singapore,247,1.79
47.236.150.13,80,80,false,SIN,Asia Pacific,Singapore,259,1.75
8.217.193.25,80,80,false,HKG,Asia Pacific,Hong Kong,11,1.71
47.245.96.80,2083,2083,true,SIN,Asia Pacific,Singapore,290,1.70
47.236.254.120,2082,2082,false,SIN,Asia Pacific,Singapore,253,1.70
47.236.149.107,2082,2082,false,SIN,Asia Pacific,Singapore,244,1.68
47.236.172.71,8080,8080,false,SIN,Asia Pacific,Singapore,244,1.67
47.236.202.91,2087,2087,true,SIN,Asia Pacific,Singapore,250,1.66
47.243.173.187,2053,2053,true,HKG,Asia Pacific,Hong Kong,464,1.65
8.218.188.129,8080,8080,false,HKG,Asia Pacific,Hong Kong,697,1.64
8.219.153.237,8443,8443,true,NRT,Asia Pacific,Tokyo,329,1.64
8.219.139.13,2053,2053,true,SIN,Asia Pacific,Singapore,249,1.61
47.245.102.52,2096,2096,true,SIN,Asia Pacific,Singapore,256,1.58
47.236.170.54,2082,2082,false,SIN,Asia Pacific,Singapore,244,1.55
