IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.169.141,8880,8880,false,SIN,Asia Pacific,Singapore,252,1.99
47.236.75.152,2087,2087,true,SIN,Asia Pacific,Singapore,253,1.99
47.237.94.140,8880,8880,false,SIN,Asia Pacific,Singapore,259,1.98
47.236.80.110,2082,2082,false,SIN,Asia Pacific,Singapore,245,1.98
47.236.146.249,8880,0,false,SIN,Asia Pacific,Singapore,247,1.98
47.236.172.71,2052,2052,false,SIN,Asia Pacific,Singapore,257,1.88
47.236.150.13,2082,0,false,SIN,Asia Pacific,Singapore,263,1.88
47.236.118.216,2052,2052,false,SIN,Asia Pacific,Singapore,253,1.87
47.237.95.13,2052,0,false,SIN,Asia Pacific,Singapore,275,1.87
47.236.169.164,8880,0,false,SIN,Asia Pacific,Singapore,265,1.86
47.237.14.220,2082,0,false,SIN,Asia Pacific,Singapore,263,1.80
47.237.121.38,80,80,false,SIN,Asia Pacific,Singapore,250,1.80
54.251.92.52,443,443,true,SIN,Asia Pacific,Singapore,51,1.78
47.236.75.152,80,80,false,SIN,Asia Pacific,Singapore,252,1.74
47.236.254.120,2086,2086,false,SIN,Asia Pacific,Singapore,254,1.73
47.236.121.23,2095,0,false,SIN,Asia Pacific,Singapore,249,1.72
47.237.83.20,2082,2082,false,SIN,Asia Pacific,Singapore,259,1.71
47.237.83.20,8880,8880,false,SIN,Asia Pacific,Singapore,259,1.69
47.238.48.153,80,443,true,SIN,Asia Pacific,Singapore,11,1.69
47.236.118.216,2095,2095,false,SIN,Asia Pacific,Singapore,252,1.65
47.236.168.17,2082,0,false,SIN,Asia Pacific,Singapore,267,1.63
47.236.117.48,2053,2053,true,SIN,Asia Pacific,Singapore,246,1.59
47.236.150.13,2083,2083,true,SIN,Asia Pacific,Singapore,266,1.58
47.236.150.13,8080,0,false,SIN,Asia Pacific,Singapore,269,1.54
47.237.121.38,2086,2086,false,SIN,Asia Pacific,Singapore,254,1.48
47.236.130.95,8880,0,false,SIN,Asia Pacific,Singapore,261,1.45
47.237.94.140,8080,8080,false,SIN,Asia Pacific,Singapore,263,1.45
8.219.144.168,443,443,true,SIN,Asia Pacific,Singapore,247,1.37
47.236.75.113,2053,2053,true,SIN,Asia Pacific,Singapore,254,1.33
47.236.202.91,2053,2053,true,SIN,Asia Pacific,Singapore,270,1.33
47.236.254.120,8080,8080,false,SIN,Asia Pacific,Singapore,251,1.29
47.236.10.182,8880,8880,false,SIN,Asia Pacific,Singapore,253,1.29
47.236.205.188,2086,2086,false,SIN,Asia Pacific,Singapore,269,1.27
47.237.95.13,2082,2082,false,SIN,Asia Pacific,Singapore,275,1.27
47.237.82.15,80,80,false,SIN,Asia Pacific,Singapore,248,1.26
47.237.0.31,2096,2096,true,SIN,Asia Pacific,Singapore,250,1.26
47.236.172.71,8080,8080,false,SIN,Asia Pacific,Singapore,249,1.25
47.236.102.102,80,0,false,SIN,Asia Pacific,Singapore,269,1.18
47.237.94.140,2095,0,false,SIN,Asia Pacific,Singapore,265,1.18
47.237.81.112,2086,2086,false,SIN,Asia Pacific,Singapore,258,1.16
47.236.130.95,2095,2095,false,SIN,Asia Pacific,Singapore,262,1.16
47.236.144.156,8880,0,false,SIN,Asia Pacific,Singapore,251,1.13
47.236.232.148,8880,0,false,SIN,Asia Pacific,Singapore,264,1.12
47.236.169.15,2082,2082,false,SIN,Asia Pacific,Singapore,246,1.10
47.237.10.1,2086,2086,false,SIN,Asia Pacific,Singapore,261,1.10
47.237.121.38,8880,8880,false,SIN,Asia Pacific,Singapore,252,1.08
47.236.102.102,2086,0,false,SIN,Asia Pacific,Singapore,267,1.07
47.237.95.146,8443,8443,true,SIN,Asia Pacific,Singapore,259,1.07
47.237.94.140,2096,2096,true,SIN,Asia Pacific,Singapore,260,1.06
202.81.235.90,50100,443,true,SIN,Asia Pacific,Singapore,52,1.06
47.236.10.182,2052,2052,false,SIN,Asia Pacific,Singapore,255,1.05
47.236.83.239,2095,2095,false,SIN,Asia Pacific,Singapore,255,1.04
23.225.64.72,25017,443,true,SIN,Asia Pacific,Singapore,76,0.98
47.236.253.41,8880,8880,false,SIN,Asia Pacific,Singapore,253,0.91
47.236.232.148,2086,0,false,SIN,Asia Pacific,Singapore,269,0.90
47.236.174.206,2086,0,false,SIN,Asia Pacific,Singapore,269,0.90
47.236.104.11,2052,2052,false,SIN,Asia Pacific,Singapore,256,0.80
47.236.254.120,8443,8443,true,SIN,Asia Pacific,Singapore,252,0.78
47.236.87.246,8080,0,false,SIN,Asia Pacific,Singapore,273,0.78
47.236.121.23,2086,2086,false,SIN,Asia Pacific,Singapore,253,0.74
47.236.123.133,2086,2086,false,SIN,Asia Pacific,Singapore,259,0.68
47.236.170.225,2096,2096,true,SIN,Asia Pacific,Singapore,273,0.68
47.236.150.13,2052,0,false,SIN,Asia Pacific,Singapore,261,0.67
47.237.100.206,2086,2086,false,SIN,Asia Pacific,Singapore,256,0.65
47.236.144.208,8080,8080,false,SIN,Asia Pacific,Singapore,248,0.60
47.236.144.208,80,80,false,SIN,Asia Pacific,Singapore,252,0.60
47.237.84.173,2082,2082,false,SIN,Asia Pacific,Singapore,249,0.53
47.236.253.41,8443,8443,true,SIN,Asia Pacific,Singapore,252,0.44
47.236.232.148,2095,2095,false,SIN,Asia Pacific,Singapore,266,0.44
47.237.82.15,2083,2083,true,SIN,Asia Pacific,Singapore,247,0.32
47.236.63.152,443,443,true,SIN,Asia Pacific,Singapore,248,0.31
47.236.144.156,8443,8443,true,SIN,Asia Pacific,Singapore,252,0.28
47.236.146.249,443,443,true,SIN,Asia Pacific,Singapore,251,0.27
47.236.97.90,80,0,false,SIN,Asia Pacific,Singapore,266,0.18
47.236.130.95,2083,2083,true,SIN,Asia Pacific,Singapore,266,0.17
47.236.168.17,80,0,false,SIN,Asia Pacific,Singapore,268,0.00
47.236.146.249,8443,8443,true,SIN,Asia Pacific,Singapore,256,0.00
47.236.174.206,80,80,false,SIN,Asia Pacific,Singapore,255,0.00
47.237.14.220,2086,0,false,SIN,Asia Pacific,Singapore,265,0.00
43.156.27.249,443,443,true,SIN,Asia Pacific,Singapore,203,0.00
47.236.171.205,2095,0,false,SIN,Asia Pacific,Singapore,276,0.00
47.236.164.215,80,0,false,SIN,Asia Pacific,Singapore,268,0.00
47.236.10.182,2086,2086,false,SIN,Asia Pacific,Singapore,255,0.00
103.75.188.126,443,443,true,SIN,Asia Pacific,Singapore,56,0.00
47.236.87.246,2052,0,false,SIN,Asia Pacific,Singapore,277,0.00
47.236.102.102,2087,2087,true,SIN,Asia Pacific,Singapore,269,0.00
47.236.180.51,8443,8443,true,SIN,Asia Pacific,Singapore,280,0.00
47.236.145.85,2082,2082,false,SIN,Asia Pacific,Singapore,256,0.00
47.236.144.196,2083,2083,true,SIN,Asia Pacific,Singapore,252,0.00
47.237.95.146,2096,2096,true,SIN,Asia Pacific,Singapore,252,0.00
